Función,Mediana,Media_Tiempo,Desviacion_tipica,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Tiempo 6,Tiempo 7,Tiempo 8,Tiempo 9,Tiempo 10,Tiempo 11,Tiempo 12,Tiempo 13,Tiempo 14,Tiempo 15
cte 1 (para comparar),1475.95875,1473.4778776,26.331918993709998,1440.28425,1456.130625,1433.208041,1433.9725,1452.461208,1485.673333,1489.52775,1465.9714159999999,1508.514041,1503.15575,1462.170709,1475.95875,1506.23275,1497.813083,1491.093958
Identidad (para comparar),1479.8169169999999,1467.3108333999999,27.020653015099295,1422.8564999999999,1437.36125,1435.282583,1434.4985,1437.942542,1488.316125,1479.8169169999999,1461.6677920000002,1486.718,1500.408709,1465.776583,1484.3735410000002,1482.92975,1503.430917,1488.282792
Hardtanh,1495.105208,1491.0462888666666,21.333556636797965,1533.710375,1515.5029579999998,1530.977083,1539.9053330000002,1533.2317090000001,1581.376125,1560.57525,1567.4676670000001,1577.9671250000001,1565.5920409999999,1540.968042,1598.5307090000001,1572.463375,1562.809333,1568.956125
CosineSquasher,1522.128334,1521.1174307333333,19.223196344549216,1513.372792,1493.573917,1507.684834,1495.499208,1487.8359580000001,1522.128334,1535.517292,1518.75025,1540.924791,1515.306292,1532.47975,1545.912459,1535.34225,1522.649584,1549.78375
ReLU,1546.379417,1552.0491917333336,21.43475886362318,1552.016166,1512.011125,1532.035333,1543.759375,1540.612458,1564.436708,1537.824125,1567.3520409999999,1578.8184999999999,1564.99575,1541.752958,1589.6446660000001,1584.8445,1577.180416,1554.431834
Indicadora de 0,1554.431834,1556.1143969999998,21.813565966541663,1518.339083,1511.308084,1510.907875,1538.663167,1562.783625,1556.0002909999998,1537.2600830000001,1568.3839580000001,1579.263333,1566.066459,1537.7922500000002,1586.575541,1575.844917,1575.89225,1557.448625
Rampa,1557.448625,1552.1686360666667,25.043497518707966,1535.111334,1520.111959,1549.579791,1514.297625,1545.007458,1544.746958,1540.343291,1546.379417,1588.8155829999998,1575.782625,1544.9089170000002,1561.5806670000002,1583.646417,1562.033542,1568.392292
Umbral de 2x,1562.809333,1556.6688833333333,23.029093715119515,1584.281958,1570.896041,1572.923375,1566.459333,1579.974125,1609.038458,1594.426542,1610.811708,1608.7973339999999,1624.151667,1599.73775,1620.39075,1611.743416,1632.175667,1630.37375
LReLU,1564.124416,1561.367075066667,21.721638618531873,1630.1591250000001,1634.9615,1635.167917,1622.027916,1614.659458,1641.409416,1678.905541,1674.3473330000002,1672.447959,1637.151584,1664.005917,1670.290208,1672.8287090000001,1668.0979579999998,1682.95975
Valor absoluto,1583.266458,1580.5449971333333,23.463812468931806,1561.298041,1537.732667,1537.1505000000002,1564.766625,1583.266458,1574.4847909999999,1578.754958,1603.4879170000002,1599.884125,1570.287209,1587.366958,1614.3985,1605.536917,1601.6335,1588.125791
Sigmoid,1608.7973339999999,1601.0787915999997,21.937801434715055,1614.294458,1590.238917,1589.5995839999998,1591.044625,1641.8969590000002,1626.399583,1632.1184170000001,1623.39875,1668.685167,1630.391583,1644.828333,1625.854458,1673.028833,1657.49,1635.244291
Coseno,1630.391583,1629.634263866667,26.112838424426602,1488.659375,1461.7547909999998,1457.5491670000001,1453.317209,1472.547333,1488.983875,1505.9265,1501.651708,1493.203792,1496.732958,1511.284875,1514.365167,1498.680959,1525.931416,1495.105208
Tangente hiperbólica,1664.005917,1653.2946860666664,23.025417108688956,1536.30775,1543.4119170000001,1541.845667,1537.059916,1564.124416,1528.476167,1591.7624589999998,1574.573708,1570.565542,1540.5850839999998,1590.9495419999998,1584.479,1563.725125,1568.668042,1583.971791
